campaign_id,campaign_name,campaign_start_date,campaign_end_date,campaign_budget,campaign_impressions,campaign_clicks,campaign_conversions,campaign_reach,campaign_engagement_rate,campaign_click_through_rate,campaign_conversion_rate,campaign_average_engagement,campaign_total_engagement,campaign_video_views,campaign_video_completion_rate,campaign_comments
1,Mrs,8/29/2022,2/27/2022,"$6,590.70 ",714653,1093,661,555629,0.08,0.14,0.41,5,7744,297388,0.19,276
2,Honorable,1/31/2022,2/1/2022,"$7,828.51 ",504804,1528,823,226781,0.1,0.03,0.41,9,6417,964073,0.37,443
3,Ms,11/8/2022,3/13/2022,"$7,138.88 ",890220,5643,677,408901,0.04,0.08,0.23,9,7261,967424,0.28,801
4,Mr,9/20/2022,8/6/2022,"$7,301.87 ",664063,3453,117,820287,0.05,0.08,0.37,10,1340,803171,0.01,188
5,Dr,7/19/2022,9/23/2022,"$8,515.85 ",709221,7218,139,919911,0.07,0.24,0.39,6,3252,978307,0.42,620
6,Dr,12/6/2022,4/6/2022,"$6,716.50 ",161646,2532,848,191472,0.02,0.39,0.06,5,1402,753959,0.31,556
7,Rev,12/6/2022,4/20/2022,"$6,725.04 ",74550,1106,287,514086,0.09,0.27,0.47,5,9733,190681,0.15,476
8,Honorable,4/12/2022,6/17/2022,"$7,797.38 ",214055,7136,612,662843,0.08,0.21,0.19,10,1300,624836,0.39,462
9,Ms,2/5/2022,6/11/2022,"$9,918.39 ",616594,409,948,623059,0.08,0.18,0.45,1,6855,718574,0.28,887
10,Honorable,5/11/2022,6/21/2022,"$6,143.12 ",29424,2385,137,954872,0.03,0.42,0.2,2,7312,696775,0.05,366
11,Ms,6/19/2022,4/8/2022,"$4,868.84 ",816491,2095,641,451111,0.1,0.41,0.13,3,4530,421061,0.48,276
12,Rev,4/15/2022,4/15/2022,"$3,188.01 ",937577,3234,386,272667,0.02,0.48,0.35,10,5175,477882,0.35,334
13,Mr,5/10/2022,12/20/2022,"$2,995.27 ",898666,1555,27,411292,0.09,0.29,0.22,4,2245,22848,0.29,352
14,Rev,1/6/2022,9/26/2022,"$6,509.77 ",393143,1339,870,51937,0.09,0.18,0.46,9,8600,428220,0.3,755
15,Rev,9/8/2022,11/22/2022,"$4,752.68 ",682764,2615,10,252208,0.09,0.12,0.03,2,296,268329,0.12,494
16,Rev,6/9/2022,5/12/2022,"$9,347.05 ",940036,3644,262,457642,0.04,0.23,0.22,6,4726,228940,0.15,103
17,Rev,10/13/2022,8/29/2022,"$3,625.25 ",409641,5866,325,352631,0.07,0.4,0.21,3,2512,154495,0.45,444
18,Dr,6/2/2022,12/11/2022,"$6,782.00 ",339803,6510,253,491698,0.02,0.35,0.05,5,6205,145457,0.47,10
19,Dr,5/27/2022,2/23/2022,"$7,353.17 ",338314,6489,145,693312,0.04,0.31,0.24,7,3552,543036,0.44,852
20,Mr,3/9/2022,8/21/2022,"$3,480.25 ",289608,9461,465,218618,0.06,0.45,0.14,10,816,973725,0.09,839
21,Honorable,9/19/2022,1/26/2022,"$7,671.82 ",108034,7994,515,759943,0.02,0.44,0.05,4,453,266445,0.35,126
22,Honorable,11/4/2022,3/2/2022,"$1,660.86 ",849233,9581,381,694186,0.05,0.26,0.15,2,9556,633576,0.18,345
23,Mr,4/17/2022,11/21/2022,"$7,875.57 ",71716,7395,226,349425,0.07,0.5,0.29,5,2836,567303,0.43,945
24,Rev,7/23/2022,4/14/2022,"$8,346.17 ",103657,5138,828,140677,0.04,0.09,0.04,6,9981,177038,0.49,461
25,Rev,10/27/2022,4/9/2022,"$5,015.19 ",788294,6075,268,597249,0.08,0.32,0.03,9,9072,961344,0.48,836
26,Rev,12/13/2022,8/5/2022,"$7,747.69 ",925980,6629,693,72791,0.04,0.09,0.15,8,3361,55908,0.38,105
27,Mr,2/12/2022,2/16/2022,"$6,291.96 ",558273,2813,295,678534,0.03,0.28,0.34,6,9716,248374,0.22,168
28,Dr,5/12/2022,1/28/2022,"$6,080.48 ",515602,3297,622,117616,0.09,0.08,0.45,3,6387,280471,0.14,773
29,Mrs,6/21/2022,3/6/2022,"$7,496.55 ",790308,5657,560,523383,0.07,0.32,0.23,1,8152,506498,0.25,346
30,Rev,5/4/2022,6/17/2022,"$1,952.26 ",539617,1358,323,427938,0.05,0.26,0.14,7,9829,477083,0.28,38
31,Honorable,11/29/2022,2/12/2022,"$1,634.01 ",610408,1545,774,544878,0.02,0.29,0.02,7,5886,851702,0.37,216
32,Honorable,1/30/2022,5/21/2022,"$9,837.18 ",454367,7599,535,179950,0.03,0.24,0.25,9,2830,277436,0.25,149
33,Ms,8/31/2022,2/16/2022,"$6,090.85 ",990519,9504,257,808475,0.03,0.31,0.13,2,5480,750507,0.45,965
34,Mr,10/12/2022,12/9/2022,"$3,675.49 ",274826,5439,972,974159,0.04,0.13,0.12,7,8850,974077,0.46,857
35,Rev,4/17/2022,4/1/2022,"$3,944.55 ",748892,386,36,983828,0.01,0.1,0.39,10,8268,972227,0.42,510
36,Mrs,2/17/2022,5/13/2022,"$5,093.47 ",671057,7656,627,763793,0.07,0.02,0.2,6,782,607245,0.5,379
37,Ms,10/17/2022,5/11/2022,"$8,111.77 ",392602,4274,615,552998,0.06,0.27,0.36,2,2324,747503,0.01,375
38,Mrs,10/14/2022,8/14/2022,"$6,498.68 ",351964,439,433,397912,0.1,0.45,0.13,6,2685,815425,0.02,792
39,Rev,8/11/2022,11/10/2022,"$4,495.41 ",271470,4274,318,369941,0.01,0.02,0.13,10,2402,549854,0.48,857
40,Rev,9/1/2022,1/22/2022,"$4,463.63 ",431103,8232,634,187351,0.03,0.03,0.39,7,1969,745172,0.1,766
41,Mrs,2/27/2022,4/26/2022,"$8,439.06 ",939080,8832,252,807831,0.02,0.39,0.37,7,5359,563615,0.2,157
42,Mr,3/30/2022,6/6/2022,"$4,049.70 ",448108,3124,109,672520,0.06,0.47,0.11,7,698,755008,0.33,995
43,Dr,8/25/2022,11/12/2022,"$2,185.97 ",473780,6964,203,3528,0.06,0.11,0.46,5,5072,435001,0.05,563
44,Dr,1/6/2022,11/28/2022,"$2,714.92 ",622138,2579,903,359139,0.06,0.26,0.15,4,227,30891,0.18,190
45,Honorable,4/1/2022,3/5/2022,"$1,081.41 ",699621,5115,584,753770,0.02,0.45,0.14,4,6510,924635,0.06,502
46,Mrs,12/2/2022,9/8/2022,"$2,636.31 ",47496,9150,640,135229,0.09,0.38,0.15,7,8387,242527,0.41,37
