campaign_id,campaign_name,campaign_start_date,campaign_end_date,campaign_budget,campaign_impressions,campaign_clicks,campaign_conversions,campaign_reach,campaign_engagement_rate,campaign_click_through_rate,campaign_conversion_rate,campaign_average_engagement,campaign_total_engagement,campaign_video_views,campaign_video_completion_rate,campaign_comments
1,Back-to-School Promotion,10/15/2022,9/19/2022,$8691.15,630312,9837,273,263066,0.06,0.22,0.11,10,4340,40559,0.41,451
2,Spring Sale,4/4/2022,10/7/2022,$2306.69,868279,4290,235,422302,0.07,0.2,0.38,8,9818,900700,0.07,219
3,Summer Campaign,4/2/2022,9/26/2022,$6342.71,585424,2933,438,883278,0.06,0.14,0.43,9,9265,583131,0.18,424
4,Spring Sale,1/17/2022,1/9/2022,$7526.81,555276,4431,678,157115,0.04,0.32,0.5,2,4748,937853,0.11,405
5,End of Year Clearance,7/6/2022,9/9/2022,$7354.41,547789,396,955,508570,0.05,0.37,0.25,6,2602,738070,0.1,617
6,Summer Campaign,5/25/2022,11/15/2022,$4156.58,877014,127,861,486973,0.02,0.22,0.28,9,2719,510474,0.04,881
7,Summer Campaign,10/13/2022,10/1/2022,$8731.43,300026,4150,462,359923,0.04,0.16,0.45,6,9438,333573,0.39,239
8,End of Year Clearance,7/11/2022,4/10/2022,$9179.66,421443,3792,85,114759,0.04,0.13,0.3,6,3363,569891,0.35,369
9,Back-to-School Promotion,6/12/2022,4/4/2022,$4119.35,954859,8090,819,596087,0.01,0.41,0.48,5,2642,292473,0.04,465
10,Back-to-School Promotion,3/31/2022,8/3/2022,$5159.86,647806,7959,175,705836,0.06,0.23,0.47,3,4629,18220,0.37,507
11,Spring Sale,5/20/2022,10/23/2022,$9952.02,568439,2418,109,934313,0.05,0.19,0.47,9,6547,733374,0.38,414
12,Summer Campaign,3/4/2022,5/18/2022,$5955.31,512932,2859,79,781321,0.07,0.38,0.45,4,5929,649573,0.11,166
13,Holiday Special,9/16/2022,5/18/2022,$3008.31,64262,5140,533,638719,0.1,0.04,0.48,6,1416,259460,0.38,329
14,Spring Sale,10/28/2022,7/25/2022,$9461.81,601114,7237,999,612944,0.06,0.48,0.49,9,7532,8910,0.22,770
15,Holiday Special,10/9/2022,3/22/2022,$3515.61,407572,254,73,382031,0.02,0.19,0.25,1,2110,665583,0.49,195
16,Back-to-School Promotion,4/19/2022,7/3/2022,$5000.29,313945,9840,101,959278,0.04,0.4,0.28,4,757,961161,0.44,722
17,Spring Sale,8/29/2022,12/22/2022,$4054.05,760238,4774,191,595313,0.06,0.14,0.14,8,7326,718760,0.16,29
18,Holiday Special,8/31/2022,6/21/2022,$1818.00,114781,9296,562,393818,0.06,0.09,0.14,8,185,254814,0.26,576
19,Back-to-School Promotion,8/21/2022,11/6/2022,$2253.21,112494,9293,709,137762,0.1,0.24,0.5,5,8837,792468,0.18,644
20,Back-to-School Promotion,11/12/2022,12/22/2022,$2289.20,666726,2291,611,642154,0.1,0.04,0.04,2,2556,490190,0.19,214
